Fornitore;P.IVA;Fattura;Descrizione;Data Emissione;Data Scadenza;Importo Totale;Importo Pagato;Residuo;Stato;Fonte
KUWAIT PETROLEUM ITALIA SPA;00891951006;PJ11164463;Fattura n. PJ11164463 da KUWAIT PETROLEUM ITALIA SPA (Rata 1/1);2026-02-28;2026-02-28;550.69;0.00;550.69;scaduto;verificato
RUGGIPAV SAS di Trapletti Ruggero & C.;04334150168;5/2026;;2026-01-30;2026-02-28;1400.00;0.00;1400.00;scaduto;verificato
Verisure Italy Srl;12454611000;2603C0325307;Fattura n. 2603C0325307 da Verisure Italy Srl (Rata 1/1);2026-03-01;2026-03-01;58.80;0.00;58.80;scaduto;verificato
Verisure Italy Srl;12454611000;2603C0302315;Fattura n. 2603C0302315 da Verisure Italy Srl (Rata 1/1);2026-03-01;2026-03-01;51.40;0.00;51.40;scaduto;verificato
Verisure Italy Srl;12454611000;2603C0247564;Fattura n. 2603C0247564 da Verisure Italy Srl (Rata 1/1);2026-03-01;2026-03-01;57.78;0.00;57.78;scaduto;verificato
OLIMPIA S.R.L. UNIPERSONALE;03589630239;E6-0117633;;2026-02-10;2026-03-02;124.06;0.00;124.06;scaduto;verificato
OLIMPIA S.R.L. UNIPERSONALE;03589630239;E6-0117637;;2026-02-10;2026-03-02;1139.02;0.00;1139.02;scaduto;verificato
GAENI MONICA;02903160162;48/10;Fattura n. 48/10 da GAENI MONICA (Rata 1/1);2026-03-06;2026-03-06;555.01;0.00;555.01;scaduto;fattura
TERMOIDRAULICA V.M. SNC DI VAVASSORI CRISTIAN E MADASCHI LUCA;03441620162;spesa_termoidraulicavm_844;;;2026-03-10;13000.00;0.00;13000.00;da_pagare;excel
EDILSCAVI DI DAMIANO PERANI;03981140167;proforma 14;;;2026-03-10;10000.00;0.00;10000.00;da_pagare;excel
Belloli Attilio;03720430168;proforme in attesa di ricezione;;;2026-03-10;5001.26;0.00;5001.26;da_pagare;verificato
G.M.V. IMPIANTI ELETTRICI SNC DI VEGETALI GIORGIO E MARCO;02481940167;FATTURE A RICEVERE;;;2026-03-10;80000.00;0.00;80000.00;da_pagare;excel
DELPRINO MASSIMO S.R.L.;01154850091;bo;;;2026-03-10;13109.85;0.00;13109.85;da_pagare;excel
IMBERTI DANIELE;02520920162;partite aperte in attesa di fatturare;;;2026-03-10;13700.00;0.00;13700.00;da_pagare;excel
EDILCASSA;1-000776;spesa_edilcassa_295;;;2026-03-10;1140.00;0.00;1140.00;da_pagare;excel
F.LLI TESTA S.R.L.;00788740165;1855/1;;2025-12-13;2026-03-10;1175.78;0.00;1175.78;da_pagare;verificato
F.LLI TESTA S.R.L.;00788740165;1691/2;;2025-11-29;2026-03-10;3852.15;0.00;3852.15;da_pagare;excel
Baccino Marco;00993670090;bo;;;2026-03-10;991.00;0.00;991.00;da_pagare;excel
TIM  S.p.A.;00488410010;8B00119718;;2026-02-11;2026-03-16;31.48;0.00;31.48;da_pagare;verificato
TIM  S.p.A.;00488410010;7X00701923;;2026-02-11;2026-03-16;45.65;0.00;45.65;da_pagare;verificato
MYO SPA;03222970406;2001/260030378;Fattura n. 2001/260030378 da MYO SPA (Rata 1/1);2026-02-28;2026-03-31;153.54;0.00;153.54;da_pagare;verificato
SYSTEM PROJECT S.R.L.;01953160163;327/00;;2026-02-12;2026-04-30;352.10;0.00;352.10;da_pagare;verificato
PER PIU SOLUZIONI SRL;02840870162;FR A26\568;Fattura n. FR A26\568 da PER PIU SOLUZIONI SRL (Rata 1/1);2026-03-06;2026-04-30;494.00;0.00;494.00;da_pagare;fattura
TOTALE;;;;;;;;305107.45;;
